model_a,model_b,dataset,column,metric,n_common_notes,n_boot,delta_point,delta_boot_mean,delta_ci_lo,delta_ci_hi,p_value,p_fdr
gpt4o,llama,4CE,begin_date,accuracy,21,2000,-0.25557365064676707,-0.23305923094374845,-0.3864955403699685,-0.024362660186355457,0.035,0.05040000000000001
gpt4o,llama,4CE,end_date,f1,21,2000,-0.16865994035736454,-0.13669562950724173,-0.30936001884318853,0.16215398024510277,0.265,0.3233898305084746
gpt4o,llama,4CE,end_date,accuracy,21,2000,-0.18423971377459747,-0.15421363392930634,-0.36596823698538405,0.15117704058519948,0.265,0.3233898305084746
gpt4o,llama,4CE,value,f1,21,2000,0.04340623554809653,0.042706306289754255,-0.0012687031651801516,0.07959764228678695,0.061,0.08446153846153845
gpt4o,llama,4CE,value,accuracy,21,2000,0.05960136292216156,0.05893837311210109,-0.001659417841242286,0.11306146485645521,0.061,0.08446153846153845
gpt4o,llama,4CE,unit,f1,21,2000,0.0064301465566029,0.006836657426588083,-0.05253554176827266,0.06328101669476639,0.806,0.8290285714285714
gpt4o,llama,4CE,unit,accuracy,21,2000,0.008467172041629167,0.008875387228083894,-0.06709887332056841,0.08320990966241863,0.806,0.8290285714285714
gpt4o,llama,coral_breastca,code,f1,13,2000,0.11294355169773496,0.11323894104948798,0.07188602568451181,0.15712288101892433,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,code,accuracy,13,2000,0.14659557922193311,0.14683070392631586,0.0931648450092647,0.20126962000196746,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,assertion_status,f1,13,2000,0.07913655023453414,0.08076431252060534,0.042781496349361854,0.12680855946293532,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,assertion_status,accuracy,13,2000,0.11008742556156892,0.11207562331062422,0.05967476883220463,0.17461002361850314,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,begin_date,f1,13,2000,-0.050629469505397484,-0.04688489808566218,-0.15481105550759375,0.05444961234579664,0.421,0.4811428571428571
gpt4o,llama,coral_breastca,begin_date,accuracy,13,2000,-0.06070683359415752,-0.05719020143409851,-0.19136238188419666,0.06274549953480517,0.421,0.4811428571428571
gpt4o,llama,coral_breastca,end_date,f1,13,2000,-0.04526464940581576,-0.041009941004700165,-0.152599917095649,0.06599475016959588,0.51,0.5649230769230769
gpt4o,llama,coral_breastca,end_date,accuracy,13,2000,-0.05460710150353665,-0.05052476899208172,-0.18982121614740813,0.07564467130688603,0.51,0.5649230769230769
gpt4o,llama,coral_breastca,value,f1,13,2000,0.18309513011444378,0.1818246664494561,0.09430470326337043,0.2644178746910017,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,value,accuracy,13,2000,0.22083756065958515,0.21942879921631792,0.10712362686328891,0.3156824434820318,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,unit,f1,13,2000,0.20785714285714285,0.20671704810260683,0.10662659763374961,0.29549622811877274,0.0005,0.0009230769230769232
gpt4o,llama,coral_breastca,unit,accuracy,13,2000,0.22897328399129552,0.22783349639794329,0.11460212985664048,0.3248155396935732,0.0005,0.0009230769230769232
gpt4o,llama,coral_pdac,code,f1,14,2000,0.06493860434753307,0.06505874756026904,0.03395402774467919,0.098224781633251,0.0005,0.0009230769230769232
gpt4o,llama,coral_pdac,code,accuracy,14,2000,0.09226406822950184,0.09231685850055543,0.04878059126903141,0.13826120241666956,0.0005,0.0009230769230769232
gpt4o,llama,coral_pdac,assertion_status,f1,14,2000,0.01964797405163554,0.01965580460136858,-0.008076766221753908,0.046491485855070416,0.154,0.19452631578947366
gpt4o,llama,coral_pdac,assertion_status,accuracy,14,2000,0.03036019608018181,0.03032793779766868,-0.012514353521627383,0.07152518400896545,0.154,0.19452631578947366
gpt4o,llama,coral_pdac,begin_date,f1,14,2000,-0.07471882879162495,-0.07408304253829114,-0.14406233294604417,0.015300100060270709,0.088,0.11314285714285713
gpt4o,llama,coral_pdac,begin_date,accuracy,14,2000,-0.09462701543854346,-0.0937743696320748,-0.18199243887687433,0.0194012483732002,0.088,0.11314285714285713
gpt4o,llama,coral_pdac,end_date,f1,14,2000,-0.05203280655087872,-0.05179159899615672,-0.12371585918846502,0.03311353712104247,0.206,0.2557241379310345
gpt4o,llama,coral_pdac,end_date,accuracy,14,2000,-0.06622420890071434,-0.06557332109428744,-0.1565954586955587,0.042030347650413975,0.206,0.2557241379310345
gpt4o,llama,coral_pdac,value,f1,14,2000,0.04813664596273315,0.04784520174443159,0.006435496912117731,0.08547914898038006,0.031,0.04555102040816327
gpt4o,llama,coral_pdac,value,accuracy,14,2000,0.07695035460992905,0.07606798911658472,0.01020507067694725,0.1326535418229532,0.031,0.04555102040816327
gpt4o,llama,coral_pdac,unit,f1,14,2000,0.13285333682370537,0.13279121253472062,0.06359721067983594,0.20122763639633018,0.0005,0.0009230769230769232
gpt4o,llama,coral_pdac,unit,accuracy,14,2000,0.1938986946682134,0.1924476373757985,0.0976890862381611,0.2768614806321611,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,code,f1,21,2000,0.8736599539124337,0.8740204519087764,0.8487353504937888,0.8956497764923922,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,code,accuracy,21,2000,0.7756626934709127,0.7764389693227343,0.7372200231014893,0.811019690555688,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,assertion_status,f1,21,2000,0.3461143998958799,0.34744727068032055,0.30198673267475584,0.38980681602385336,0.0005,0.0009230769230769232
