model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
deepseek,coral_breastca,end_date,precision,0.8974358974358975,0.8966318375680398,0.026551319562130835,0.8425181474457502,0.9445429681306484,13,2000
deepseek,coral_breastca,end_date,recall,0.6019108280254777,0.6018438586517377,0.057287129165851894,0.489133176731103,0.7103735373537354,13,2000
deepseek,coral_breastca,end_date,f1,0.720548989706443,0.7185798205637514,0.04292847187854429,0.6330820555339389,0.7993739967897271,13,2000
deepseek,coral_breastca,end_date,accuracy,0.5631704410011918,0.5625162735944413,0.052251845479919526,0.4631456388275805,0.6657976827094473,13,2000
deepseek,coral_breastca,value,precision,0.97,0.9702069215091078,0.014482308674080966,0.9382620197837589,0.9940484995773458,13,2000
deepseek,coral_breastca,value,recall,0.4898989898989899,0.49055358042561614,0.04547689963696334,0.4027718926553672,0.5813459690496686,13,2000
deepseek,coral_breastca,value,f1,0.651006711409396,0.6504028288324969,0.04089510462737267,0.5694106679636836,0.7275324173336635,13,2000
deepseek,coral_breastca,value,accuracy,0.48258706467661694,0.48328027678236546,0.04483875871228357,0.3980252743773744,0.5717492745977315,13,2000
deepseek,coral_breastca,unit,precision,0.9195402298850575,0.9187781845912621,0.0184549484949869,0.8804309552969994,0.9521743460938854,13,2000
deepseek,coral_breastca,unit,recall,0.5042016806722689,0.5051156244816248,0.04120583888753703,0.4183928287696626,0.5792028646239746,13,2000
deepseek,coral_breastca,unit,f1,0.6512890094979648,0.6505969890965508,0.03324590553755317,0.5782770907936283,0.7070242307786538,13,2000
deepseek,coral_breastca,unit,accuracy,0.482897384305835,0.4830242841856074,0.03606155564656782,0.4067439143474925,0.546819400234545,13,2000
deepseek,coral_pdac,code,precision,0.7084159818645509,0.7088676070927339,0.013996167615014004,0.6828822147934254,0.7377067754963408,15,2000
deepseek,coral_pdac,code,recall,0.7173601147776184,0.717979748708908,0.02505569183967214,0.6714494006981451,0.7681479850524257,15,2000
deepseek,coral_pdac,code,f1,0.7128599942971201,0.7131396643910828,0.015033266988587897,0.6853848967626065,0.7434272609841237,15,2000
deepseek,coral_pdac,code,accuracy,0.5538325210456359,0.5543827629793179,0.01820606952576312,0.5213578447120208,0.5916309007634846,15,2000
deepseek,coral_pdac,assertion_status,precision,0.8557228060210168,0.8561768611848961,0.014208257729240989,0.8289678633625026,0.8840266870904214,15,2000
deepseek,coral_pdac,assertion_status,recall,0.7528735632183908,0.7532666830099748,0.022817757128213156,0.7093626338285066,0.7978714289955786,15,2000
deepseek,coral_pdac,assertion_status,f1,0.8010102352784794,0.8012221176541378,0.01511688377961733,0.7715730863689638,0.8312445388386451,15,2000
deepseek,coral_pdac,assertion_status,accuracy,0.6680709534368071,0.668631100211785,0.021053599810496874,0.6280984874404683,0.711221951098295,15,2000
deepseek,coral_pdac,begin_date,precision,0.9031633311814073,0.9049885064590636,0.024907889614903585,0.8553845380516739,0.9519318956464278,15,2000
deepseek,coral_pdac,begin_date,recall,0.600686990124517,0.6026013442046129,0.04848588073395781,0.5053941227850046,0.6937139195427067,15,2000
deepseek,coral_pdac,begin_date,f1,0.7215059308922125,0.7224221427008679,0.03821178998380509,0.6435509753854268,0.7935101220379528,15,2000
deepseek,coral_pdac,begin_date,accuracy,0.564340459862848,0.5668576479678793,0.04671527386021693,0.474438010122238,0.6577014549044157,15,2000
deepseek,coral_pdac,end_date,precision,0.9213857428381079,0.921986275649301,0.01846249059867762,0.8838589137353283,0.956590424919392,15,2000
deepseek,coral_pdac,end_date,recall,0.6028770706190061,0.6038139561440118,0.047349271850185115,0.5081942957308648,0.6934427208127809,15,2000
deepseek,coral_pdac,end_date,f1,0.7288537549407115,0.728687278132593,0.036531811467374116,0.6515122909976746,0.7953030195776511,15,2000
deepseek,coral_pdac,end_date,accuracy,0.5733830845771144,0.5744685035258219,0.04500287414270334,0.4831429215106839,0.6601685309039703,15,2000
deepseek,coral_pdac,value,precision,0.9690721649484536,0.9692424573211483,0.012195403801921398,0.9435474636788969,0.9914977671829832,15,2000
deepseek,coral_pdac,value,recall,0.7757909215955984,0.7765302318318531,0.025621099029486553,0.7241865325223722,0.824078798185941,15,2000
deepseek,coral_pdac,value,f1,0.8617265087853323,0.861945067167408,0.01552437737712364,0.8296860532407407,0.8895211171582054,15,2000
deepseek,coral_pdac,value,accuracy,0.7570469798657719,0.7577104015469122,0.023913279645296746,0.708943147825793,0.8010247933254019,15,2000
deepseek,coral_pdac,unit,precision,0.9124423963133641,0.914211842184336,0.018935147549285866,0.876670996787999,0.9477136376938835,15,2000
deepseek,coral_pdac,unit,recall,0.7279411764705882,0.7282735452572652,0.03411337424793147,0.6540653513449461,0.7880667065402519,15,2000
deepseek,coral_pdac,unit,f1,0.8098159509202454,0.8100480717882156,0.0199520148620571,0.7662419494459833,0.8446626806521456,15,2000
deepseek,coral_pdac,unit,accuracy,0.6804123711340206,0.6812092360184436,0.027997218815539866,0.6210633863116133,0.7310961628853451,15,2000
