model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
llama,4CE,code,precision,0.808983561009493,0.8082479187825977,0.011783652011723784,0.782730390197224,0.8303418854370971,21,2000
llama,4CE,code,recall,0.7551329154960017,0.7549452882474363,0.01604722236832149,0.7237446245572747,0.7870580866547757,21,2000
llama,4CE,code,f1,0.7811312318354573,0.7805725738091263,0.01073396066426177,0.7589470091527252,0.8012461034520748,21,2000
llama,4CE,code,accuracy,0.6408657373440939,0.6402409460681291,0.014429353293868024,0.6115347346420779,0.6683991654158264,21,2000
llama,4CE,assertion_status,precision,0.9177669678017142,0.9172557632962894,0.009238266017176656,0.8982439491907507,0.9340065072447797,21,2000
llama,4CE,assertion_status,recall,0.7780832678711704,0.7779880743816918,0.014287717834647046,0.7491128354911999,0.8060735390739,21,2000
llama,4CE,assertion_status,f1,0.8421723881390158,0.841789868612598,0.008286856764909275,0.8249089651597661,0.8576950867052023,21,2000
llama,4CE,assertion_status,accuracy,0.7273728657976868,0.7268906173274594,0.012340733728856268,0.7019957950366243,0.7508460107144318,21,2000
llama,4CE,begin_date,precision,0.916354556803995,0.9031064488602644,0.06011206628326629,0.742016496314838,0.9823498730737134,21,2000
llama,4CE,begin_date,recall,0.6796296296296296,0.6619604538768262,0.07751863146600654,0.5150109267683525,0.7957450066183298,21,2000
llama,4CE,begin_date,f1,0.780435938330675,0.7618956182662762,0.06513663070969383,0.6265588212956633,0.8667180261047017,21,2000
llama,4CE,begin_date,accuracy,0.6399302528334786,0.6197648185604553,0.08368525161969864,0.4561963288965221,0.7647858575789157,21,2000
llama,4CE,end_date,precision,0.8394366197183099,0.8116213212241556,0.1280455425611611,0.4743493056583036,0.9812753725675073,21,2000
llama,4CE,end_date,recall,0.6436285097192225,0.6186138851401873,0.09693063430931982,0.41970076536035716,0.7783008879071273,21,2000
llama,4CE,end_date,f1,0.7286063569682152,0.6988803407754189,0.10156695459639835,0.4431252528815528,0.8473329962280653,21,2000
llama,4CE,end_date,accuracy,0.573076923076923,0.5460054749727734,0.11429573620029565,0.2846248630887185,0.7351065003134689,21,2000
llama,4CE,value,precision,0.9850993377483444,0.9849404964809871,0.006940924807193903,0.9692550410754294,0.9965814877910278,21,2000
llama,4CE,value,recall,0.6336528221512248,0.6347786591653373,0.03683762447796528,0.5619291742504894,0.706290442002991,21,2000
llama,4CE,value,f1,0.7712248865845756,0.7713652262372088,0.027264530338581457,0.7150685859320415,0.8218391561391579,21,2000
llama,4CE,value,accuracy,0.6276371308016878,0.6286208634044594,0.03599073749797958,0.5565033127450021,0.6975610855902826,21,2000
llama,4CE,unit,precision,0.9609826589595376,0.9605320744354667,0.010217517096428819,0.9376837771283368,0.9779864522528502,21,2000
